titulos,companias
Promotor de marca,Corporativo Boryel S.A de C.V
EJECUTIVO DE ATENCION A CLIENTES,PROMASS
Auxiliar de ventas Eventual LOB Galerias Zacatecas,Operadora LOB
"Analista de Recursos Humanos, Licenciatura en Administración...",ENVASADORA Y DISTRIBUIDORA DE ALIMENTOS LAND S.A....
OPERADOR CAJERO DE VALORES NOCTURNO,SEPSA SA DE CV
ALMACENISTA,DISTRIBUCIONES DANA
PROXY REPARTIDOR SUPLENTE NP26,TALENT GROUP
Gerente en desarrollo,TIAMAT inc
Anexo 24,Magna International Inc.
Business manager,Corporativo Boryel S.A de C.V
operador de trailer,"AUTOTRANSPORTES DEL REAL, S.A. DE C.V."
OFICIAL ALUMINERO,RLA INDUSTRIAS TORSAA
SUBGERENTE DE SUCURSAL,GRUPO BATTA HERMANOS
Gerente comercial,Corporativo Boryel S.A de C.V
Ing. Soporte CCTV. Control de Accesos | Zacatecas,"Grupo Siayec, S.A. de C.V."
AUX DE FINANCIAMIENTO,KIA MOTORS México S.A DE C.V
Biólogo-Especialista de Acuario,PETCO
TECNICO EN PRUEBAS DE HERMETICIDAD,SERVICIOS INTEGRALES ALVARADO
Gerente de Tienda MOBO Portal Fresnillo,MOBO
Etiquetador con disponibilidad para viajar Temporal,Promoventas al Detalle S.A. de C.V.
Asesores financieros- ZACATECAS- lunes a viernes!,Kondinero
EMPLEADO DE MOSTRADOR FERRETERIA,SOLMAR FERRETERA
PINTOR DE MUEBLES DE MADERA,CARPINTERIA JMR
ENSAMBALDOR DE MANGUERAS HIDRÁULICAS,CONEXIONES Y MANGUERAS INDUSTRIALES DE ZACATECAS
AYUDANTE DE VENDEDOR,EQUIPOS PARA GAS DEL GUADIANA S.A. DE C.V.
TORNERO,IMPORTADORA AGRICOLA ZACATECANA
ESTILISTA,REYNA PATRICIA ROMO BARAJAS
GUARDIA OPERATIVO CON PREPARATORIA,TRES GUERRAS
Cajera registradora,CAFREMA FOODS
AUXILIAR DE COCINA PARA APULCO,Restaurantes Saluti CarneVino
ASESOR DE VENTAS DE AUTOMÓVILES,UNITED AUTO ZACATECAS S DE RL DE CV
VULCANIZADOR/LLANTERO,LLANTERA AGUASCALIENTES
AYUDANTE DE COCINA,CARNBRITOS
AUXILIAR DE LIMPIEZA,TELEVERA SERVICIOS ADMINISTRATIVOS
AYUDANTE DE TALLER,ALICIA ROCHA VARELA
TÉCNICO MECÁNICO DIÉSEL,EURO CENTRO CAMIONERO
GUARDIA DE SEGURIDAD,INTERCON SERVICIOS DE SEGURIDAD PRIVADA SA DE CV
CHOFER VENDEDOR,DE LUPITA TORTILLAS DE HARINA
GUARDIA DE SEGURIDAD,SEGURIDAD PRIVADA PROTECZAC
Aplicadora de Uñas y manicura,ESTÉTICA Y BARBERÍA ISRRA Y FRANCIS
COCINERA,RESTAURANT MAR Y TIERRA
COSTURERA,JELLKA
Asesor de ventas a bordo de motocicleta,SUPERMAS
Cajera de restaurante,hotel baruk teleferico y mina
Ayudante de Cocina / Parrillero,"TACOS EL PANDA, HAMBURGESAS Y ALGO MAS..."
COCINERO,HOTELES BARUK
COCINERA,GUARDERIA ROSA Y PLATA
VENDEDOR DE PERIÓDICO,PERIODICO IMAGEN GRUPO EDITORIAL ZACATECAS SA DE C...
MECÁNICO LLANTERO,SINTRA COMPAÑIA DE TRANSPORTES
GUARDIA DE SEGURIDAD,MSPV GUARDIAS DE SEGURIDAD
SOLDADOR,IMPORTADORA AGRICOLA ZACATECANA
PANADERO SEGUNDO FRANCES,OPERADORA WAL MART
Promotor Anaquelero - Tienda de Autoservcio,HUMAN RETAIL / HUMAN STAFF
AYUDANTE EN GENERAL EN SERVICIOS GENERALES,SUKURI MOTOS
GUARDIA DE SEGURIDAD,HOTEL SANTA RITA
PROMOTOR DE CRÉDITO GRUPAL,Tenemos Talento RH
CAMARISTA TURNO VESPERTINO,MOTEL SAMIL
"GUARDIA DE SEGURIDAD PARA CALERA, ZACATECAS Y GUADALUPE",SEGURIDAD PRIVADA GRUPO IMPERIO
SOLDADOR,Chiles y Semillas el Buen Temporal SA de CV
ASESOR DE VENTAS DIGITAL EN AGENCIA AUTOMOTRIZ,SERVICIOS EMPRESARIALES DE ALTA CALIDAD S.A DE C.V...
Asesor de créditos grupales,Metafinanciera
ENFERMERA/ENFERMERO,CLINICA QUIRURGICA E N E S.A DE C.V.
AYUDANTE DE SOLDADOR,"ESTRUCTURAS, HERRERIA Y PAILERIA BRIBIESCA"
